1205
6316671	5			1	51	2	5	1	7	3
6316675	5			1	48	4	1	1	2	2
6316685	5			1	20	4	1	3	1	3
6316687	5			2	18	2	1	1	9	3
6316689	5			2	64	3	2	2	7	4
6316692	5			2	87	4	5	1	7	2
6316694	5			1	63	4	1	1	7	3
6316704	5			2	32	4	1	1	4	2
6316707	5			2	43	3	5	3	10	4
6316718	5			2	76	4	5	3	7	3
6316724	5			2	51	3	2	2	10	3
6316759	5			2	53	2	1	1	10	3
6316765	5			1	20	3	2	3	6	3
6316766	5			1	75	4	2	3	7	3
6316767	5			2	29	4	1	2	4	3
6316795	5			2	36	4	1	2	8	3
6316798	4			1	36	4	1	3	2	3
6316802	5			1	67	4	2	1	1	3
6316819	5			1	51	3	2	1	6	3
6316831	5			1	21	4	1	1	2	3
6316836	5			2	47	2	5	1	2	2
6316838	5			2	56	4	1	1	8	2
6316839	5			1	59	3	2	99	5	3
6316841	5			1	48	3	3	1	1	2
6316864	5			2	56	3	3	1	7	3
6316867	5			1	40	3	1	2	3	3
6316886	5			2	31	4	1	1	4	3
6316887	5			1	56	4	1	2	5	3
6316890	5			2	36	4	1	1	4	3
6316895	5			1	18	3	1	1	9	3
6316896	5			2	59	4	2	1	1	2
6316897	3			2	27	4	1	3	1	4
6316910	5			2	42	4	1	1	2	2
6316915	5			2	60	4	1	1	8	3
6316919	5			1	46	3	1	3	7	3
6316923	5			2	55	3	5	1	8	3
6316929	5			2	35	3	1	1	8	3
6316937	5			2	64	4	1	2	1	2
6316957	5			1	23	4	1	3	2	3
6316960	5			2	29	4	1	1	1	3
6316965	5			2	39	4	1	1	5	3
6316972	5			2	53	3	1	1	7	3
6316976	5			2	80	1	5	1	7	3
6316981	5			1	38	3	1	1	4	3
6316987	5			2	21	4	1	1	1	1
6316997	5			2	76	3	5	3	7	3
6317009	5			1	30	3	1	2	7	4
6317014	5			2	65	3	1	3	7	3
6317016	5			2	81	3	5	3	7	3
6317019	5			1	35	4	1	1	4	3
6317025	5			2	44	4	2	1	1	3
6317034	5			1	37	3	1	3	5	3
6317038	5			2	44	3	1	1	3	3
6317044	5			2	63	4	1	1	1	4
6317054	5			1	77	4	5	2	7	3
6317060	5			2	51	4	1	3	1	3
6317072	5			2	56	3	5	3	7	5
6317082	5			2	40	3	3	99	2	3
6317089	5			2	53	2	5	3	4	4
6317107	5			2	76	4	5	3	7	3
6317108	5			1	50	3	5	3	2	2
6317113	4			2	52	4	1	3	2	1
6317114	5			1	42	4	1	2	4	3
6317116	5			1	22	4	1	2	9	3
6317123	5			1	26	4	1	1	4	3
6317126	5			2	54	4	2	1	2	3
6317146	5			2	61	2	5	1	7	3
6317148	5			2	88	4	5	3	7	2
6317149	5			2	52	2	1	1	8	3
6317155	4			1	54	4	2	1	7	3
6317156	5			1	50	3	5	1	5	3
6317163	5			1	73	2	5	3	7	3
6317181	5			2	66	3	5	1	7	4
6317193	5			2	37	4	1	1	5	3
6317194	5			2	30	4	1	1	8	3
6317199	5			1	45	4	1	1	5	3
6317200	5			1	61	1	5	3	7	4
6317201	5			2	57	3	2	2	8	4
6317207	5			2	73	4	1	1	2	3
6317211	5			2	33	4	1	1	4	3
6317235	5			1	86	4	4	3	7	3
6317268	5			2	70	4	5	3	7	3
6317275	5			1	33	4	1	1	6	3
6317284	5			2	81	4	5	3	7	3
6317294	5			2	50	3	2	1	10	3
6317329	5			2	55	4	1	3	5	3
6317336	5			2	44	4	2	1	1	3
6317338	5			2	70	3	5	1	7	3
6317353	5			2	18	2	1	2	9	2
6317354	5			2	72	3	1	3	7	3
6317361	5			1	30	3	1	3	4	3
6317372	5			2	70	4	5	3	7	99
6317380	5			2	51	4	1	3	4	3
6317381	5			2	40	3	2	3	8	3
6317383	5			1	76	4	2	1	7	2
6317402	5			1	75	4	5	1	1	2
6317407	5			2	83	2	5	1	7	3
6317415	5			2	58	4	1	3	7	4
6317425	4			2	33	3	1	1	8	3
6317434	5			1	27	4	1	1	1	2
6317447	5			2	60	4	1	1	7	3
